Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Team,PF
8,Pedro Castellanos,26,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,OAX,0.985605712
22,Joseph Uzeta,16,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,MEX,1.116054408
16,Luis Medina,26,5,4,3,2,2,0,0,0,1,0,0,0,0,0.667,0.75,0.667,1.417,2,0,1,0,0,0,PUE,1.055090728
16,Jafet Ojeda,20,8,6,5,2,3,1,0,0,0,0,0,1,2,0.6,0.667,0.8,1.467,4,0,0,0,0,0,YUC,0.91908046
5,Manuel Barradas,24,3,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,0,0,0,0,0,TAB,0.885204422
25,Giancarlo Servin,25,3,4,4,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,2,0,0,0,0,0,PUE,1.055090728
23,Sandber Pimentel*,29,7,30,22,4,10,2,0,1,7,1,0,7,4,0.455,0.6,0.682,1.282,15,0,1,0,0,1,LEO,1.107484945
6,Robinson Canó*,41,78,360,327,62,141,26,0,14,77,0,0,26,41,0.431,0.475,0.639,1.114,209,10,4,0,3,4,MEX,1.116054408
22,Tito Polo,29,28,96,83,15,34,7,1,3,17,5,4,4,18,0.41,0.473,0.627,1.1,52,2,6,3,0,0,VER,0.928407717
8,Lewin Díaz*,27,24,105,89,23,36,8,0,7,30,0,0,14,18,0.405,0.476,0.73,1.207,65,1,0,0,2,0,MEX,1.116054408
14,Vimael Machín*,30,85,363,304,64,122,31,1,7,54,10,9,56,37,0.401,0.495,0.579,1.073,176,9,1,1,1,3,JAL,1.010882902
2,Ramón Cabrera#,34,3,11,10,1,4,0,0,1,1,0,0,1,2,0.4,0.455,0.7,1.155,7,0,0,0,0,0,YUC,0.91908046
19,Manuel Orduno,28,3,6,5,0,2,0,0,0,0,0,0,0,1,0.4,0.5,0.4,0.9,2,0,1,0,0,0,VER,0.928407717
29,Sam Travis,30,17,80,70,15,28,8,0,0,8,0,0,8,9,0.4,0.463,0.514,0.977,36,0,1,0,1,1,LEO,1.107484945
19,Jose Vargas,36,1,5,5,1,2,1,0,0,2,0,0,0,2,0.4,0.4,0.6,1,3,0,0,0,0,0,QRO,1.148678145
30,Henry Urrutia*,37,37,159,141,25,55,9,0,4,22,0,1,16,21,0.39,0.447,0.539,0.986,76,5,0,0,2,4,LEO,1.107484945
4,Yurisbel Gracial,38,87,387,348,95,133,24,2,24,83,2,0,35,71,0.382,0.437,0.67,1.106,233,4,1,0,3,1,QRO,1.148678145
5,Luis Barrera*,28,26,123,109,21,41,9,2,2,15,3,0,10,16,0.376,0.438,0.551,0.989,60,0,2,2,0,2,OAX,0.985605712
22,Félix Pérez*,39,44,136,121,16,45,5,0,6,25,1,0,11,17,0.372,0.434,0.562,0.996,68,3,3,0,1,2,TAB,0.885204422
6,Beder Gutierrez,27,12,41,35,11,13,6,0,4,9,0,0,6,7,0.371,0.463,0.886,1.349,31,1,0,0,0,0,QRO,1.148678145
12,Keven Lamas,25,37,155,140,28,52,10,1,5,25,2,1,8,19,0.371,0.426,0.564,0.99,79,5,6,0,1,0,SAL,0.996117193
27,Wilfredo Tovar,32,87,395,350,72,130,19,2,7,44,4,5,39,28,0.371,0.44,0.497,0.937,174,13,4,2,0,0,AGU,0.963026964
10,Anthony Giansanti,35,5,21,19,3,7,3,0,2,9,2,0,2,4,0.368,0.429,0.842,1.271,16,0,0,0,0,0,TIJ,0.965961179
11,Jerar Encarnacion,26,26,107,93,33,34,1,0,19,36,2,0,13,26,0.366,0.439,0.989,1.429,92,3,0,0,1,1,OAX,0.985605712
20,Sergio Perez*,34,31,57,52,9,19,3,0,1,6,0,0,4,12,0.365,0.421,0.481,0.902,25,5,1,0,0,0,AGU,0.963026964
6,Moisés Castillo,24,7,25,22,7,8,1,0,2,5,1,0,3,6,0.364,0.44,0.682,1.122,15,0,0,0,0,0,AGU,0.963026964
15,José Marmolejos*,31,70,322,261,64,95,17,2,10,48,3,2,55,45,0.364,0.47,0.559,1.03,146,6,1,1,4,4,MEX,1.116054408
10,Lewin Díaz*,27,51,209,180,29,65,8,0,12,47,1,0,26,36,0.361,0.44,0.606,1.046,109,3,1,0,2,2,CMP,0.989554266
3,Alexi Amarista*,35,87,401,368,67,133,25,5,15,57,1,3,23,41,0.361,0.402,0.579,0.98,213,5,3,5,2,1,OAX,0.985605712
14,J.J. Matijevic*,28,38,150,133,25,48,10,2,1,18,1,2,16,28,0.361,0.427,0.489,0.915,65,2,0,0,1,0,DUR,1.050243683
8,Brayan Mendoza*,23,52,45,39,9,14,3,1,1,6,0,0,4,8,0.359,0.419,0.564,0.983,22,0,0,2,0,0,MTY,0.977770943
6,Eduardo Diaz,26,8,21,14,3,5,1,0,1,3,1,0,7,4,0.357,0.571,0.643,1.214,9,0,0,0,0,1,TIJ,0.965961179
17,Aldo Nunez#,23,9,16,14,2,5,0,0,0,1,2,1,1,4,0.357,0.438,0.357,0.795,5,0,1,0,0,0,MVA,0.986601464
6,Christopher Escarrega#,24,14,48,45,10,16,6,0,0,7,0,0,3,12,0.356,0.396,0.489,0.885,22,0,0,0,0,0,MTY,0.977770943
6,Saul Garza,26,25,97,87,15,31,5,1,4,16,6,0,4,24,0.356,0.417,0.575,0.991,50,3,5,1,0,0,CHI,1.104916111
16,Roel Santos*,36,35,161,135,30,48,7,3,2,22,9,4,22,19,0.356,0.447,0.496,0.944,67,2,2,0,2,0,QRO,1.148678145
8,Daniel Cornejo,33,53,165,150,27,53,11,2,2,29,2,1,10,36,0.353,0.39,0.493,0.884,74,7,1,1,3,0,AGU,0.963026964
4,Yeison Asencio,34,19,74,71,5,25,5,0,1,16,0,0,3,9,0.352,0.378,0.465,0.843,33,2,0,0,0,1,SAL,0.996117193
2,Rusney Castillo,36,18,75,74,14,26,8,1,3,19,1,1,1,8,0.351,0.36,0.608,0.968,45,3,0,0,0,0,QRO,1.148678145
13,José Martínez,35,12,47,40,7,14,3,0,1,4,0,0,5,6,0.35,0.426,0.5,0.926,20,2,1,0,1,0,YUC,0.91908046
5,Yosmany Guerra*,41,70,287,241,42,84,16,2,4,41,1,1,42,28,0.349,0.451,0.481,0.932,116,7,3,1,0,2,QRO,1.148678145
25,Sam Travis,30,57,262,227,49,79,11,3,4,37,3,5,31,28,0.348,0.431,0.476,0.907,108,4,3,0,1,0,DUR,1.050243683
8,Juan Centeno*,34,44,146,121,12,42,8,0,1,22,0,0,17,24,0.347,0.438,0.438,0.876,53,5,4,2,2,0,SAL,0.996117193
22,Angel Reyes,29,88,371,327,67,113,22,0,19,70,13,9,39,63,0.346,0.412,0.587,1,192,10,1,0,4,2,AGU,0.963026964
12,Balbino Fuenmayor,34,66,262,240,35,83,15,0,13,54,0,0,10,58,0.346,0.37,0.571,0.941,137,14,4,0,8,1,MVA,0.986601464
9,Aldrem Corredor*,28,88,379,329,49,113,22,0,14,69,1,0,48,54,0.344,0.425,0.538,0.963,177,5,0,0,2,4,MVA,0.986601464
4,Franklin Barreto,28,76,372,321,77,110,19,4,16,63,8,2,45,99,0.343,0.43,0.576,1.006,185,5,4,2,0,0,MEX,1.116054408
11,Jesus Loya*,32,37,118,108,12,37,4,0,2,14,0,2,7,14,0.343,0.376,0.435,0.811,47,3,0,1,2,1,CHI,1.104916111
7,Andretty Cordero,27,90,402,363,66,124,29,0,14,78,6,3,29,52,0.342,0.389,0.537,0.927,195,14,2,4,4,1,AGU,0.963026964
12,Victor Marquez#,22,17,47,38,5,13,0,0,0,2,2,2,6,8,0.342,0.432,0.342,0.774,13,0,0,3,0,0,DUR,1.050243683
20,Nicholas Torres,31,85,373,320,65,109,22,0,15,66,10,5,43,85,0.341,0.424,0.55,0.974,176,6,6,0,4,0,ULA,0.968507678
21,Carlos Sepúlveda*,27,58,184,153,30,52,9,1,1,31,6,1,25,20,0.34,0.442,0.431,0.873,66,2,3,3,0,2,MEX,1.116054408
20,Danry Vasquez*,30,87,374,330,53,112,27,9,6,57,7,3,38,57,0.339,0.41,0.53,0.941,175,15,3,1,2,0,DSL,0.964253313
26,Tomás Telis#,33,48,180,157,23,53,8,0,1,23,0,1,14,26,0.338,0.398,0.408,0.805,64,10,3,4,2,2,AGU,0.963026964
13,Keven Lamas,25,42,159,134,26,45,5,2,6,21,1,4,19,28,0.336,0.427,0.537,0.964,72,3,3,2,1,0,LEO,1.107484945
10,Albert Lara,25,52,158,143,23,48,8,2,1,19,2,3,9,22,0.336,0.377,0.441,0.817,63,4,1,4,1,0,ULA,0.968507678
8,Miguel Guzman,28,87,364,339,60,114,15,4,8,38,5,6,15,32,0.336,0.364,0.475,0.839,161,9,2,4,4,0,PUE,1.055090728
8,Alen Hanson#,31,80,359,328,71,110,23,0,16,49,8,5,20,52,0.335,0.375,0.552,0.926,181,3,3,4,4,1,QRO,1.148678145
25,Luis Sardiñas#,31,12,51,42,8,14,1,0,1,11,0,1,6,8,0.333,0.44,0.429,0.869,18,1,2,1,0,0,OAX,0.985605712
23,Arturo Rodriguez,32,22,61,51,8,17,6,0,1,12,0,0,4,10,0.333,0.362,0.51,0.872,26,0,0,3,3,0,SAL,0.996117193
14,Amilcar Gomez#,29,33,21,18,7,6,0,0,0,0,0,1,2,5,0.333,0.429,0.333,0.762,6,0,1,0,0,0,AGU,0.963026964
19,José Pirela,34,23,87,75,21,25,5,0,2,11,3,0,6,14,0.333,0.414,0.48,0.894,36,1,5,0,1,1,MEX,1.116054408
7,Kelvin Gutiérrez,29,87,370,321,62,107,19,0,11,70,6,7,37,54,0.333,0.408,0.495,0.903,159,16,7,0,5,1,QRO,1.148678145
25,Cristian Santana,27,43,179,168,24,56,10,0,5,32,1,1,8,33,0.333,0.369,0.482,0.851,81,5,2,0,1,0,CHI,1.104916111
10,Xavier Fernández,28,7,22,18,4,6,1,0,0,5,0,0,3,3,0.333,0.409,0.389,0.798,7,1,0,0,1,0,MEX,1.116054408
12,Diago Machado*,19,3,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0,TIJ,0.965961179
9,Braxton Davidson*,28,2,3,3,0,1,0,0,0,1,0,0,0,2,0.333,0.333,0.333,0.667,1,0,0,0,0,0,SAL,0.996117193
17,Daniel Mercado,28,6,3,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1,0,0,0,0,0,PUE,1.055090728
19,Roy Morales,29,58,185,166,26,55,9,1,0,25,3,2,11,11,0.331,0.388,0.398,0.786,66,2,5,2,1,0,TAB,0.885204422
10,Yonathan Daza,30,58,268,249,42,82,17,2,4,38,7,2,9,38,0.329,0.356,0.462,0.818,115,6,3,4,3,0,OAX,0.985605712
28,Fernando Villegas,26,88,368,317,70,104,15,2,12,58,4,4,35,53,0.328,0.406,0.502,0.908,159,10,10,1,5,0,SAL,0.996117193
27,Rainel Rosario,35,37,155,125,26,41,7,0,7,28,0,2,24,16,0.328,0.445,0.552,0.997,69,5,4,0,2,0,LEO,1.107484945
3,Diosbel Arias,27,47,196,174,41,57,14,0,5,23,1,0,20,39,0.328,0.397,0.494,0.891,86,5,0,2,0,0,MEX,1.116054408
21,Renato Núñez,30,13,54,49,5,16,1,0,3,11,1,0,4,8,0.327,0.389,0.531,0.92,26,1,1,0,0,0,OAX,0.985605712
25,Henry Urrutia*,37,42,167,147,21,48,9,1,3,26,2,0,18,27,0.327,0.407,0.463,0.87,68,2,2,0,0,1,SAL,0.996117193
3,Manuel Boscan*,31,92,387,336,46,110,23,1,10,66,9,5,38,46,0.327,0.409,0.491,0.9,165,8,10,1,2,1,DUR,1.050243683
7,Alan Garcia*,27,40,107,98,16,32,8,0,2,13,3,0,6,20,0.327,0.359,0.469,0.828,46,0,0,1,2,0,LEO,1.107484945
1,Zoilo Almonte#,35,78,336,307,50,100,18,0,22,63,0,1,24,67,0.326,0.375,0.599,0.974,184,6,2,0,3,1,MTY,0.977770943
22,Jonathan Villar#,33,84,376,326,48,106,17,2,3,39,24,6,37,56,0.325,0.4,0.417,0.817,136,9,4,8,1,0,ULA,0.968507678
7,Phillip Evans,31,19,79,68,16,22,0,0,3,11,0,0,9,10,0.324,0.418,0.456,0.874,31,3,2,0,0,0,TIJ,0.965961179
12,Juan Carlos Gamboa*,33,74,304,256,50,83,18,1,7,47,10,2,40,58,0.324,0.423,0.484,0.908,124,3,4,4,0,2,MEX,1.116054408
18,Carlos Munoz*,30,19,38,31,4,10,1,0,3,11,0,1,5,5,0.323,0.421,0.645,1.066,20,1,1,0,1,0,AGU,0.963026964
11,Ramón Flores*,32,57,191,161,34,52,16,1,1,13,2,1,28,31,0.323,0.424,0.453,0.878,73,3,1,0,1,3,MEX,1.116054408
20,Magneuris Sierra*,28,61,277,252,51,81,10,6,5,27,15,2,15,48,0.321,0.361,0.468,0.829,118,0,1,8,1,0,MVA,0.986601464
3,Ali Castillo,35,92,417,371,75,119,21,2,4,41,5,2,37,26,0.321,0.382,0.421,0.802,156,9,2,3,4,0,DSL,0.964253313
23,Ramon Rios,36,79,323,299,41,96,11,1,4,42,8,1,13,16,0.321,0.357,0.405,0.761,121,22,4,6,1,0,AGU,0.963026964
5,Harold Castro*,30,84,363,331,46,106,20,2,6,30,3,3,24,57,0.32,0.366,0.447,0.813,148,6,1,5,2,1,TIJ,0.965961179
17,Julian Ornelas*,27,79,343,306,66,98,22,0,16,84,7,6,30,53,0.32,0.379,0.549,0.928,168,11,2,0,5,1,MEX,1.116054408
11,Juan Kirk,28,56,141,122,14,39,6,0,1,13,1,1,8,21,0.32,0.368,0.393,0.761,48,3,3,5,3,0,PUE,1.055090728
4,Marco Chicuate,31,66,246,222,30,71,13,0,3,31,0,1,19,46,0.32,0.376,0.419,0.795,93,4,1,4,0,1,LEO,1.107484945
19,Addison Russell,30,82,363,314,49,100,15,2,7,51,6,1,45,54,0.319,0.405,0.446,0.851,140,11,2,0,2,0,MVA,0.986601464
3,Willians Astudillo,32,40,164,144,19,46,8,0,3,19,0,1,6,2,0.319,0.385,0.438,0.823,63,3,10,3,1,1,AGU,0.963026964
26,Yorman Rodriguez,26,45,157,138,23,44,7,0,5,21,3,0,13,17,0.319,0.383,0.478,0.861,66,4,2,3,1,0,LEO,1.107484945
4,Emmanuel Avila*,35,6,25,22,5,7,2,0,1,4,0,0,1,4,0.318,0.375,0.546,0.921,12,1,1,1,0,0,OAX,0.985605712
3,Sebastián Elizalde*,32,65,279,245,41,78,18,0,6,35,8,3,28,26,0.318,0.385,0.465,0.85,114,7,1,1,4,0,CHI,1.104916111
10,Carlos Franco*,32,39,156,123,28,39,7,0,9,27,3,0,32,31,0.317,0.455,0.594,1.049,73,1,0,0,1,2,VER,0.928407717
3,Greg Bird*,31,72,306,262,50,83,15,0,18,51,0,1,31,39,0.317,0.399,0.58,0.979,152,8,8,0,5,0,JAL,1.010882902
19,Kennys Vargas#,33,88,382,323,53,102,20,0,15,80,0,0,51,96,0.316,0.416,0.517,0.933,167,9,6,0,2,7,DSL,0.964253313
15,Alejandro Mejia,31,35,150,136,24,43,4,1,8,30,0,2,12,36,0.316,0.373,0.537,0.91,73,4,1,0,1,2,SAL,0.996117193
21,Leobaldo Piña,30,85,369,329,49,104,21,4,2,35,2,5,34,50,0.316,0.383,0.423,0.806,139,9,3,1,2,0,CHI,1.104916111
23,Yasiel Puig,33,64,261,223,43,70,12,0,18,43,1,3,25,44,0.314,0.41,0.61,1.02,136,7,12,0,1,3,VER,0.928407717
13,Ramon Hernandez,28,82,364,329,62,103,17,1,22,71,2,1,25,72,0.313,0.374,0.571,0.945,188,11,8,0,2,5,MVA,0.986601464
14,Seuly Matias,25,21,79,67,13,21,5,0,3,14,0,1,7,20,0.313,0.405,0.522,0.928,35,0,4,0,1,0,CHI,1.104916111
27,Brandon Villarreal,29,59,185,160,29,50,8,0,0,12,6,4,9,24,0.313,0.383,0.363,0.746,58,1,10,5,1,0,SAL,0.996117193
7,Yadir Drake,34,69,289,260,47,81,16,0,14,52,1,1,20,27,0.312,0.363,0.535,0.897,139,13,2,5,2,0,YUC,0.91908046
16,Yariel Gonzalez#,30,65,265,244,45,76,14,1,11,40,0,1,19,41,0.312,0.359,0.512,0.871,125,4,0,0,2,0,OAX,0.985605712
11,Anthony García,32,21,82,77,10,24,4,0,3,12,0,1,2,16,0.312,0.342,0.481,0.822,37,4,2,0,1,0,AGU,0.963026964
15,Norberto Obeso*,28,61,257,212,41,66,13,1,2,21,2,1,42,35,0.311,0.43,0.41,0.84,87,6,2,1,0,2,YUC,0.91908046
20,Aneury Tavárez*,32,45,205,193,30,60,12,3,4,33,9,3,8,36,0.311,0.348,0.466,0.814,90,1,3,1,0,1,TIJ,0.965961179
18,Ciro Norzagaray,29,43,82,74,10,23,7,0,0,9,1,2,7,14,0.311,0.37,0.405,0.776,30,1,0,1,0,0,PUE,1.055090728
9,Victor Mendoza*,33,72,314,268,54,83,19,1,12,51,1,0,42,54,0.31,0.398,0.522,0.921,140,7,0,0,4,2,MTY,0.977770943
5,Sebastián Elizalde*,32,21,95,84,17,26,6,0,2,9,6,0,11,10,0.31,0.39,0.452,0.842,38,0,0,0,0,1,MTY,0.977770943
14,Moises Gutierrez#,29,55,179,155,35,48,14,0,8,42,1,2,17,53,0.31,0.377,0.555,0.932,86,4,1,4,2,0,MEX,1.116054408
1,Jesse Castillo*,41,78,334,288,40,89,11,1,8,63,2,0,39,31,0.309,0.392,0.438,0.83,126,8,3,0,4,4,QRO,1.148678145
6,Anthony García,32,25,99,78,16,24,3,0,6,15,2,1,15,16,0.308,0.439,0.577,1.016,45,4,4,1,1,1,PUE,1.055090728
24,Reynaldo Rodriguez,37,32,129,117,16,36,9,0,7,20,2,2,10,21,0.308,0.357,0.564,0.921,66,0,0,0,2,0,OAX,0.985605712
12,Ramon Mora,24,7,15,13,2,4,0,0,0,1,1,0,1,1,0.308,0.333,0.308,0.641,4,1,0,0,1,0,ULA,0.968507678
9,Anthony García,32,30,119,101,20,31,11,0,6,18,4,0,17,27,0.307,0.403,0.594,0.998,60,4,0,0,1,0,JAL,1.010882902
7,Nomar Mazara*,29,70,313,270,38,83,24,0,9,49,3,0,34,53,0.307,0.39,0.496,0.886,134,5,5,0,4,3,MTY,0.977770943
9,Francisco Hernandez*,29,37,41,36,6,11,2,1,0,1,0,0,2,6,0.306,0.375,0.417,0.792,15,0,2,1,0,0,ULA,0.968507678
10,Leonys Martín*,36,82,366,308,94,94,13,0,29,74,3,0,47,93,0.305,0.41,0.63,1.04,194,8,9,0,2,1,QRO,1.148678145
1,José Aguilar,34,36,105,82,18,25,1,0,2,5,0,2,15,13,0.305,0.437,0.39,0.827,32,4,5,2,1,0,SAL,0.996117193
24,Roel Santos*,36,21,87,79,12,24,3,2,1,5,2,2,4,14,0.304,0.345,0.43,0.776,34,3,1,3,0,0,TAB,0.885204422
3,Allen Córdoba,28,84,338,273,58,83,16,2,4,29,10,7,39,45,0.304,0.412,0.421,0.833,115,9,13,10,3,1,ULA,0.968507678
28,David Rodríguez,28,57,223,195,28,59,14,0,9,38,2,1,23,63,0.303,0.383,0.513,0.896,100,5,3,1,1,1,QUI,0.887123301
14,Taylor Motter,34,40,165,152,27,46,7,0,11,31,2,0,12,40,0.303,0.352,0.566,0.917,86,6,0,0,1,0,YUC,0.91908046
17,Carlos Soto*,25,62,177,145,13,44,7,0,4,20,0,1,28,38,0.303,0.418,0.435,0.853,63,4,2,0,2,2,MTY,0.977770943
6,Cade Gotta,32,93,433,367,76,111,18,2,7,35,33,10,57,66,0.303,0.402,0.42,0.821,154,7,6,0,3,0,DSL,0.964253313
7,Santiago Chavez,28,37,103,89,10,27,6,0,3,16,0,1,10,28,0.303,0.366,0.472,0.838,42,2,0,2,2,0,MVA,0.986601464
21,Dwight Smith Jr.*,31,79,321,265,54,80,18,1,11,41,10,6,51,63,0.302,0.413,0.502,0.914,133,2,1,1,3,3,JAL,1.010882902
1,Lázaro Alonso*,29,38,151,126,19,38,10,1,5,22,0,0,22,37,0.302,0.417,0.516,0.933,65,5,3,0,0,0,DUR,1.050243683
12,Ramiro Peña#,38,74,324,278,58,84,24,1,7,45,4,1,27,37,0.302,0.373,0.471,0.844,131,6,5,13,1,4,MTY,0.977770943
13,Jack Mayfield,33,69,298,268,42,81,21,0,5,30,3,2,24,48,0.302,0.365,0.437,0.802,117,4,3,2,1,0,TIJ,0.965961179
18,José Peraza,30,79,343,315,50,95,7,2,7,41,1,1,20,27,0.302,0.345,0.403,0.748,127,9,3,1,4,0,YUC,0.91908046
13,Yairo Muñoz,29,56,224,202,31,61,10,0,5,39,5,1,17,35,0.302,0.353,0.426,0.778,86,8,1,0,4,1,DSL,0.964253313
3,Daniel Castro,31,39,119,106,14,32,7,0,1,20,1,0,9,11,0.302,0.35,0.396,0.747,42,1,0,2,2,0,MTY,0.977770943
4,Carlos Castro,30,42,173,163,29,49,6,1,13,32,1,0,8,42,0.301,0.341,0.589,0.93,96,5,2,0,0,2,QUI,0.887123301
4,Luis Aviles,29,34,141,133,25,40,11,1,10,26,3,1,7,35,0.301,0.333,0.624,0.957,83,2,0,0,1,0,CMP,0.989554266
26,Herlis Rodriguez*,30,91,414,355,66,107,24,1,5,32,36,9,45,76,0.301,0.392,0.417,0.809,148,1,9,3,2,2,VER,0.928407717
18,Roberto Valenzuela,29,81,330,296,51,89,13,5,9,40,6,1,29,38,0.301,0.371,0.47,0.84,139,13,4,1,0,1,MTY,0.977770943
19,Christian Villanueva,33,71,292,259,39,78,15,2,8,44,8,4,22,50,0.301,0.366,0.467,0.834,121,11,7,0,4,0,MTY,0.977770943
1,Cristhian Adames#,32,88,368,312,58,94,17,3,7,39,13,2,53,49,0.301,0.406,0.442,0.848,138,8,2,1,0,0,PUE,1.055090728
21,Francisco Peña,34,75,273,236,37,71,9,0,4,23,0,0,28,35,0.301,0.385,0.39,0.775,92,8,5,3,1,2,CMP,0.989554266
2,Oswaldo Arcia*,33,4,13,10,1,3,1,0,1,2,0,0,3,3,0.3,0.462,0.7,1.162,7,0,0,0,0,0,SAL,0.996117193
8,Yadiel Hernández*,36,93,399,340,57,102,17,1,14,70,1,0,54,78,0.3,0.391,0.479,0.87,163,11,0,0,5,1,DSL,0.964253313
21,Carlos Peguero*,37,8,23,20,0,6,2,0,0,2,0,0,3,11,0.3,0.391,0.4,0.791,8,0,0,0,0,0,VER,0.928407717
17,Yermín Mercedes,31,75,317,283,55,85,13,1,11,41,8,1,27,53,0.3,0.372,0.47,0.842,133,8,6,0,1,2,SAL,0.996117193
11,Jermaine Palacios,27,68,260,243,34,73,17,0,4,29,3,1,12,65,0.3,0.337,0.42,0.757,102,10,2,2,1,0,MTY,0.977770943
23,Roberto Ramos*,29,64,238,201,31,60,12,0,15,41,0,1,34,57,0.299,0.403,0.582,0.986,117,6,2,0,1,1,OAX,0.985605712
14,Daniel Palka*,32,41,164,141,25,42,6,0,10,35,0,0,19,35,0.298,0.372,0.553,0.925,78,5,0,0,4,2,ULA,0.968507678
7,Pedro Castellano*,27,41,109,94,20,28,9,0,4,15,1,0,12,32,0.298,0.389,0.521,0.91,49,0,2,1,0,0,OAX,0.985605712
20,Rubén Tejada,34,73,279,235,35,70,14,0,4,34,3,0,38,43,0.298,0.405,0.409,0.814,96,7,5,0,1,0,YUC,0.91908046
21,Francisco Peguero,36,73,307,290,33,86,14,1,10,54,1,1,12,50,0.297,0.336,0.455,0.791,132,6,5,0,0,0,TAB,0.885204422
16,James Nelson,26,85,355,290,60,86,12,4,9,55,11,5,60,64,0.297,0.425,0.459,0.884,133,2,5,0,0,1,DUR,1.050243683
2,Jose Cardona,30,83,363,327,60,97,20,3,7,39,13,5,26,41,0.297,0.361,0.44,0.802,144,3,7,3,0,1,MTY,0.977770943
13,Dean Nevarez,27,53,162,145,22,43,10,0,1,28,1,2,10,36,0.297,0.344,0.386,0.73,56,5,2,2,3,0,ULA,0.968507678
5,Manny Garcia,26,74,313,290,33,86,20,3,6,46,14,5,14,41,0.297,0.339,0.448,0.787,130,8,5,3,1,1,CHI,1.104916111
2,Aristides Aquino,30,59,259,220,47,65,16,0,9,37,5,1,34,60,0.296,0.39,0.491,0.881,108,7,2,0,3,3,MEX,1.116054408
17,Tomo Otosaka*,30,65,290,237,38,70,13,0,0,20,12,6,46,44,0.295,0.409,0.35,0.759,83,5,0,6,1,0,YUC,0.91908046
7,Edgar Bravo,23,43,126,112,15,33,8,1,2,14,2,1,10,27,0.295,0.365,0.438,0.803,49,3,3,0,1,0,CMP,0.989554266
12,Jimmy Kerrigan#,30,89,401,359,62,106,27,3,16,61,15,3,27,98,0.295,0.354,0.521,0.875,187,4,8,3,4,0,LEO,1.107484945
4,Art Charles*,33,78,335,252,62,74,14,0,33,81,0,0,76,95,0.294,0.457,0.742,1.199,187,6,3,0,4,2,YUC,0.91908046
15,Alejandro Gonzalez#,38,26,39,34,13,10,3,0,0,5,0,0,4,10,0.294,0.385,0.382,0.767,13,1,1,0,0,0,OAX,0.985605712
16,Alberth Martinez,33,55,203,184,29,54,12,2,5,35,2,0,15,38,0.294,0.355,0.462,0.817,85,3,3,0,1,1,LEO,1.107484945
1,Lázaro Alonso*,29,21,49,41,4,12,2,0,3,10,0,0,5,16,0.293,0.388,0.561,0.949,23,0,2,0,1,0,YUC,0.91908046
2,Emmanuel Avila*,35,63,249,229,27,67,10,0,5,27,1,2,14,32,0.293,0.34,0.402,0.742,92,9,3,2,1,1,LEO,1.107484945
