Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Team,PF
15,Jorge Gonzalez*,26,14,23,21,2,5,1,1,0,6,0,0,2,6,0.238,0.304,0.381,0.685,8,0,0,0,0,0,AGU,0.963026964
7,Jesus Cordova,23,12,22,21,1,5,2,0,1,3,1,0,0,11,0.238,0.227,0.476,0.704,10,0,0,0,1,0,JAL,1.010882902
18,Jose Orozco*,33,80,275,240,31,57,6,3,7,36,2,1,30,80,0.238,0.327,0.375,0.702,90,6,3,0,2,2,DUR,1.050243683
8,Logan Brown*,27,7,23,21,1,5,1,0,0,1,0,0,0,5,0.238,0.273,0.286,0.558,6,0,1,1,0,0,TAB,0.885204422
5,Chris Carter,37,34,153,131,19,31,9,0,8,26,0,0,20,56,0.237,0.34,0.489,0.828,64,0,1,0,1,1,MVA,0.986601464
15,Jairus Richards*,27,56,161,131,32,31,6,1,1,8,17,2,26,40,0.237,0.379,0.321,0.7,42,1,4,0,0,0,TIJ,0.965961179
1,Carlos Arellano,25,70,237,207,26,49,11,0,2,24,3,1,11,54,0.237,0.291,0.319,0.61,66,3,6,10,3,1,VER,0.928407717
28,Daniel Sanchez,31,25,61,59,3,14,1,0,0,4,0,0,1,10,0.237,0.25,0.254,0.504,15,2,0,1,0,0,CMP,0.989554266
20,José Rondón,30,57,250,216,33,51,8,0,9,35,0,1,29,44,0.236,0.333,0.398,0.731,86,12,3,1,1,2,MEX,1.116054408
12,Bryant Flete*,31,20,77,68,8,16,2,0,1,5,4,0,8,20,0.235,0.316,0.309,0.625,21,3,0,1,0,0,QUI,0.887123301
28,Jesus Valdez,39,57,218,200,20,47,7,0,5,28,0,1,16,33,0.235,0.294,0.345,0.639,69,7,1,0,1,2,VER,0.928407717
16,Drew Mendoza*,26,10,38,34,2,8,1,0,0,2,0,0,4,6,0.235,0.316,0.265,0.581,9,1,0,0,0,0,CHI,1.104916111
20,Connor Panas*,31,23,82,77,16,18,3,1,8,19,0,0,3,21,0.234,0.268,0.61,0.879,47,0,1,0,1,0,CMP,0.989554266
1,Japhet Amador,37,39,179,154,18,36,6,0,6,33,0,0,20,39,0.234,0.318,0.39,0.708,60,10,1,0,4,0,MEX,1.116054408
1,Sergio Burruel*,32,40,120,107,9,25,3,0,2,10,0,1,13,26,0.234,0.317,0.318,0.635,34,4,0,0,0,0,CHI,1.104916111
24,Tito Polo,29,12,49,43,5,10,4,0,0,3,2,1,4,14,0.233,0.306,0.326,0.632,14,1,1,0,1,0,LEO,1.107484945
9,Romer Cuadrado,26,20,65,56,5,13,2,0,2,8,0,0,9,20,0.232,0.339,0.375,0.714,21,2,0,0,0,0,OAX,0.985605712
33,Randy Trejo,21,47,60,56,7,13,0,0,0,8,2,2,4,24,0.232,0.283,0.232,0.515,13,1,0,0,0,0,QUI,0.887123301
6,Carlos Franco*,32,41,152,130,16,30,11,0,3,23,1,0,20,33,0.231,0.329,0.385,0.714,50,5,0,0,2,2,ULA,0.968507678
11,Carlos Figueroa#,32,71,274,234,29,54,6,1,0,17,9,4,30,56,0.231,0.331,0.265,0.596,62,1,5,5,0,0,QUI,0.887123301
15,Joshua Rodriguez,39,8,28,26,3,6,1,0,0,3,0,0,2,12,0.231,0.286,0.269,0.555,7,1,0,0,0,0,DSL,0.964253313
7,Alejandro Gonzalez#,38,11,31,26,5,6,1,0,0,2,1,0,3,10,0.231,0.355,0.269,0.624,7,1,2,0,0,0,CHI,1.104916111
6,Jorge Bonifacio,31,15,55,48,10,11,5,0,2,9,1,0,5,16,0.229,0.309,0.458,0.767,22,0,1,0,1,0,SAL,0.996117193
17,Luis Sardiñas#,31,9,36,35,3,8,1,0,2,4,0,0,0,5,0.229,0.229,0.429,0.657,15,1,0,1,0,0,DSL,0.964253313
9,Angel Chavarin*,33,31,51,48,3,11,2,0,1,6,0,0,3,14,0.229,0.275,0.333,0.608,16,4,0,0,0,0,CMP,0.989554266
13,Fernando Perez*,30,47,146,123,17,28,3,0,1,14,0,0,16,31,0.228,0.326,0.276,0.603,34,2,3,2,2,2,QRO,1.148678145
12,Samar Leyva,29,50,154,132,23,30,6,0,7,21,5,3,16,13,0.227,0.325,0.432,0.756,57,5,3,3,0,0,PUE,1.055090728
27,Tomás Telis#,33,14,51,44,6,10,3,0,0,5,1,0,7,3,0.227,0.333,0.296,0.629,13,1,0,0,0,0,OAX,0.985605712
14,Sebastian Garcia,21,28,27,22,9,5,0,0,0,3,2,0,4,4,0.227,0.37,0.227,0.598,5,1,1,0,0,0,OAX,0.985605712
11,Ryan Grotjohn*,28,19,70,62,8,14,3,0,1,2,0,0,8,16,0.226,0.314,0.323,0.637,20,0,0,0,0,0,TAB,0.885204422
17,Luis Medina,29,35,55,53,6,12,3,0,0,5,2,2,0,20,0.226,0.241,0.283,0.524,15,1,1,1,0,0,LEO,1.107484945
29,Reynaldo Rodriguez,37,56,236,213,24,48,10,0,11,34,8,4,20,45,0.225,0.292,0.427,0.72,91,7,1,0,2,1,QUI,0.887123301
31,Demetrius Sims,28,28,103,94,15,21,5,0,1,3,6,1,7,34,0.223,0.291,0.309,0.6,29,2,2,0,0,0,QUI,0.887123301
11,Kevin Medrano*,34,17,22,18,2,4,0,0,1,3,0,0,3,4,0.222,0.318,0.389,0.707,7,1,0,0,1,0,DSL,0.964253313
16,Jonathan Mendoza,19,50,121,117,18,26,3,0,0,9,1,0,2,36,0.222,0.24,0.248,0.488,29,5,1,0,1,0,CMP,0.989554266
1,Angel Aguilar,29,14,43,41,4,9,3,0,1,2,0,0,0,11,0.22,0.256,0.366,0.622,15,1,2,0,0,0,OAX,0.985605712
19,Yangervis Solarte#,36,20,83,73,9,16,2,0,2,10,0,0,9,8,0.219,0.301,0.329,0.63,24,8,0,0,1,0,ULA,0.968507678
22,Yefri Pérez#,33,21,78,73,12,16,1,0,0,5,4,0,3,10,0.219,0.247,0.233,0.48,17,4,0,1,1,0,LEO,1.107484945
5,Alejandro Flores#,28,30,98,83,16,18,4,1,3,8,1,1,11,21,0.217,0.316,0.398,0.713,33,1,1,3,0,0,ULA,0.968507678
16,Aderlin Rodríguez,32,46,183,162,18,35,10,0,10,25,3,1,15,43,0.216,0.29,0.463,0.753,75,6,3,0,3,2,TIJ,0.965961179
15,Domingo Leyba#,28,54,173,153,16,33,7,1,2,17,0,3,17,32,0.216,0.297,0.314,0.61,48,3,1,1,1,1,TAB,0.885204422
11,Jecksson Flores,30,72,213,176,36,38,9,0,3,10,9,1,16,28,0.216,0.324,0.318,0.642,56,2,12,9,0,0,MVA,0.986601464
13,Alberth Martinez,33,32,131,111,11,24,5,0,2,11,0,1,16,31,0.216,0.321,0.315,0.636,35,2,2,0,2,0,DUR,1.050243683
18,Francisco Lugo,32,29,38,37,3,8,2,0,0,5,0,0,1,4,0.216,0.237,0.27,0.507,10,0,0,0,0,0,TAB,0.885204422
19,Justin O'Conner,32,47,151,135,22,29,3,1,5,21,0,1,10,40,0.215,0.267,0.363,0.63,49,4,1,1,4,0,AGU,0.963026964
13,Gabriel Gutierrez,40,27,90,75,10,16,5,0,1,7,0,0,9,9,0.213,0.314,0.32,0.634,24,2,2,4,0,0,MEX,1.116054408
2,Carlos Baez#,18,19,35,33,2,7,0,0,0,4,0,3,1,13,0.212,0.257,0.212,0.469,7,0,1,0,0,0,JAL,1.010882902
13,Alex Liddi,35,50,196,166,23,35,5,1,6,23,4,1,27,65,0.211,0.327,0.361,0.688,60,4,2,0,1,2,VER,0.928407717
1,Ryan Aguilar*,29,63,113,95,16,20,3,3,1,12,2,0,15,31,0.211,0.315,0.337,0.652,32,1,0,2,1,0,DSL,0.964253313
13,Irving Lopez*,29,19,62,57,5,12,2,0,1,4,0,0,1,5,0.211,0.224,0.298,0.522,17,1,0,4,0,0,PUE,1.055090728
9,Fernando Flores#,32,27,67,62,2,13,3,1,0,5,0,0,4,8,0.21,0.258,0.29,0.548,18,7,0,1,0,0,VER,0.928407717
15,Carlos Mendivil*,30,26,67,62,7,13,4,0,1,8,0,1,2,10,0.21,0.227,0.323,0.55,20,1,0,1,2,0,DUR,1.050243683
8,Joshua Fuentes,31,67,264,245,27,51,7,2,3,19,1,1,12,60,0.208,0.255,0.29,0.545,71,7,4,1,2,0,YUC,0.91908046
3,Ti'Quan Forbes,27,41,74,63,15,13,1,0,2,10,1,1,6,23,0.206,0.311,0.318,0.628,20,2,4,0,1,0,QRO,1.148678145
15,Jefry Marte,33,11,48,39,5,8,1,0,3,7,0,0,9,11,0.205,0.354,0.462,0.816,18,1,0,0,0,0,LEO,1.107484945
11,Julian Leon,28,33,95,78,11,16,4,0,2,8,0,0,11,36,0.205,0.315,0.333,0.649,26,2,2,3,1,0,ULA,0.968507678
26,Ricardo Valenzuela,33,13,44,39,3,8,2,0,1,3,0,0,4,9,0.205,0.296,0.333,0.629,13,5,1,0,0,0,CHI,1.104916111
21,Italo Motta*,25,71,212,185,23,38,8,1,3,25,9,4,18,56,0.205,0.285,0.308,0.593,57,2,3,5,1,0,LEO,1.107484945
29,Ricardo Serrano#,38,56,192,172,16,35,5,0,5,18,0,1,15,47,0.204,0.272,0.32,0.592,55,1,2,1,2,1,CMP,0.989554266
12,Dilson Herrera,30,19,58,49,6,10,3,0,0,3,0,0,5,13,0.204,0.268,0.265,0.533,13,1,0,2,2,0,VER,0.928407717
3,Danny Amaral,27,39,109,93,18,19,1,0,1,7,17,1,11,22,0.204,0.302,0.247,0.549,23,1,2,3,0,0,MVA,0.986601464
5,José Briceño,31,46,162,148,21,30,5,0,1,12,0,0,9,29,0.203,0.256,0.257,0.513,38,6,2,2,1,0,MEX,1.116054408
6,Antonio Castaneda*,22,7,7,5,1,1,1,0,0,1,0,0,2,1,0.2,0.429,0.4,0.829,2,0,0,0,0,0,OAX,0.985605712
8,Eduardo Diaz,26,25,92,80,11,16,6,0,4,11,1,0,7,20,0.2,0.304,0.425,0.729,34,2,5,0,0,1,QUI,0.887123301
19,Cristian Mejia,24,8,14,10,2,2,1,0,0,0,0,0,3,5,0.2,0.429,0.3,0.729,3,0,1,0,0,0,OAX,0.985605712
35,Alexis Wilson,27,65,229,200,21,40,10,0,8,21,1,0,26,52,0.2,0.294,0.37,0.664,74,5,1,1,1,0,QUI,0.887123301
25,Ricardo Rincon*,26,10,7,5,1,1,0,0,0,0,0,0,2,1,0.2,0.429,0.2,0.629,1,0,0,0,0,0,VER,0.928407717
31,Heber Villalobos,20,3,7,5,0,1,0,0,0,0,0,0,2,2,0.2,0.429,0.2,0.629,1,0,0,0,0,0,OAX,0.985605712
4,Malquin Canelo,29,17,21,20,5,4,1,1,0,3,0,0,1,10,0.2,0.238,0.35,0.588,7,2,0,0,0,0,VER,0.928407717
10,Christopher Gastelum,19,52,119,105,12,21,3,0,2,12,2,4,11,25,0.2,0.288,0.286,0.574,30,2,2,1,0,0,JAL,1.010882902
19,Yonathan Mendoza#,30,4,14,10,3,2,0,0,0,1,1,0,3,1,0.2,0.357,0.2,0.557,2,0,0,0,1,0,LEO,1.107484945
2,Abiel Amador,22,6,5,5,1,1,0,0,0,1,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,AGU,0.963026964
25,Alex Robles,28,4,10,10,1,2,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,2,1,0,0,0,0,CMP,0.989554266
1,Micker Adolfo,27,30,106,91,16,18,4,0,5,16,0,1,11,32,0.198,0.311,0.407,0.718,37,2,4,0,0,0,LEO,1.107484945
21,Juan Rodriguez,27,50,115,101,13,20,3,1,1,10,2,0,10,35,0.198,0.287,0.277,0.564,28,2,3,0,1,0,DUR,1.050243683
23,Wendell Rijo,28,16,64,56,8,11,1,0,1,4,1,1,6,14,0.196,0.286,0.268,0.554,15,0,1,1,0,0,CMP,0.989554266
6,Jorge Bonifacio,31,34,143,118,22,23,3,1,6,17,1,0,19,35,0.195,0.315,0.39,0.705,46,0,3,0,3,2,TAB,0.885204422
14,Jefry Marte,33,12,51,41,9,8,1,0,3,7,0,0,7,5,0.195,0.353,0.439,0.792,18,1,3,0,0,0,PUE,1.055090728
34,Kevin Vicuña,26,11,39,36,2,7,1,1,0,1,3,1,2,5,0.194,0.256,0.278,0.534,10,0,1,0,0,0,QUI,0.887123301
21,Breyvic Valera#,32,18,38,31,8,6,2,0,0,2,1,0,5,3,0.194,0.297,0.258,0.555,8,1,0,1,1,0,TIJ,0.965961179
18,Miguel Ojeda,24,15,25,21,3,4,1,0,1,3,0,0,2,6,0.191,0.292,0.381,0.673,8,0,1,1,0,0,VER,0.928407717
22,Manny Olloque,28,12,28,21,3,4,0,0,0,1,0,0,7,9,0.191,0.393,0.191,0.583,4,0,0,0,0,0,QUI,0.887123301
1,José Aguilar,34,29,99,84,10,16,4,0,1,8,1,1,9,19,0.191,0.281,0.274,0.555,23,1,2,3,1,0,CMP,0.989554266
21,Sebastian Valle,33,13,40,37,4,7,2,0,2,6,0,0,3,15,0.189,0.25,0.405,0.655,15,1,0,0,0,0,YUC,0.91908046
3,Roldani Baldwin,28,15,53,48,6,9,1,0,1,6,0,1,4,20,0.188,0.25,0.271,0.521,13,1,0,1,0,0,VER,0.928407717
21,Juniel Querecuto#,31,10,37,32,2,6,3,0,0,3,0,0,1,8,0.188,0.235,0.281,0.517,9,1,1,3,0,0,SAL,0.996117193
9,Walter Ibarra#,36,15,34,32,5,6,1,0,0,0,0,0,1,8,0.188,0.212,0.219,0.431,7,1,0,1,0,0,YUC,0.91908046
17,Niko Hulsizer,27,11,44,38,7,7,1,1,3,6,1,0,6,19,0.184,0.296,0.5,0.796,19,0,0,0,0,0,QUI,0.887123301
9,Saul Garza,26,28,90,76,12,14,3,0,3,9,0,0,8,35,0.184,0.3,0.342,0.642,26,3,5,0,1,1,TIJ,0.965961179
6,Engel Beltré*,34,19,67,60,3,11,5,0,0,4,2,4,6,13,0.183,0.269,0.267,0.535,16,2,1,0,0,1,CMP,0.989554266
15,Juan Haro,21,7,12,11,0,2,1,0,0,2,0,0,1,7,0.182,0.25,0.273,0.523,3,0,0,0,0,0,QUI,0.887123301
29,David Washington*,33,3,12,11,2,2,0,0,0,1,0,0,1,7,0.182,0.25,0.182,0.432,2,0,0,0,0,1,SAL,0.996117193
26,Yangervis Solarte#,36,4,13,11,1,2,0,0,0,1,0,0,1,2,0.182,0.231,0.182,0.413,2,0,0,0,1,0,OAX,0.985605712
18,Alay Lago,32,10,29,28,1,5,0,0,0,1,0,0,0,4,0.179,0.207,0.179,0.386,5,1,1,0,0,0,QUI,0.887123301
13,Wilson Garcia#,30,15,54,51,5,9,2,0,1,5,0,0,2,12,0.177,0.204,0.275,0.478,14,3,0,0,1,0,AGU,0.963026964
16,Luis Santos,24,40,48,40,11,7,3,0,0,2,2,0,4,16,0.175,0.313,0.25,0.563,10,0,4,0,0,0,MTY,0.977770943
21,Orlando Pina,26,36,80,63,8,11,1,0,1,10,0,1,14,16,0.175,0.338,0.238,0.576,15,5,2,0,1,0,PUE,1.055090728
6,Narciso Crook,28,6,26,23,3,4,0,0,1,1,1,0,3,7,0.174,0.269,0.304,0.574,7,0,0,0,0,0,QUI,0.887123301
6,Eduardo Diaz,26,9,37,36,5,6,0,0,4,7,0,0,1,12,0.167,0.189,0.5,0.689,18,0,0,0,0,0,YUC,0.91908046
15,Yordi Martinez*,22,25,34,30,4,5,2,0,0,1,1,0,4,15,0.167,0.265,0.233,0.498,7,0,0,0,0,0,CMP,0.989554266
19,Jorge Morales,23,5,7,6,1,1,0,0,0,1,0,0,0,2,0.167,0.286,0.167,0.452,1,0,1,0,0,0,SAL,0.996117193
16,Manuel Melendez*,27,7,6,6,0,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,1,0,0,0,0,0,VER,0.928407717
1,Ismael Alcantara,25,4,6,6,0,1,0,0,0,0,1,0,0,3,0.167,0.167,0.167,0.333,1,0,0,0,0,0,AGU,0.963026964
7,Alonzo Harris,35,63,81,67,17,11,2,0,1,7,5,3,12,16,0.164,0.288,0.239,0.526,16,1,0,1,1,0,DSL,0.964253313
7,Logan Brown*,27,22,67,61,6,10,3,0,0,3,1,0,5,16,0.164,0.227,0.213,0.44,13,0,0,1,0,0,SAL,0.996117193
31,Carlos Villegas,19,26,75,67,6,11,0,0,0,7,2,2,3,17,0.164,0.24,0.164,0.404,11,0,4,0,1,0,CMP,0.989554266
7,Jose Cordova,40,14,37,31,7,5,1,0,2,5,0,0,4,9,0.161,0.297,0.387,0.684,12,0,2,0,0,0,MEX,1.116054408
9,Courtney Hawkins,30,7,28,25,3,4,1,0,0,1,0,0,3,13,0.16,0.25,0.2,0.45,5,1,0,0,0,1,PUE,1.055090728
5,Mario Feliciano,25,30,72,63,3,10,2,0,1,5,1,0,4,20,0.159,0.243,0.238,0.481,15,1,3,2,0,0,PUE,1.055090728
25,Noah Perio*,32,10,38,38,3,6,1,0,0,2,1,0,0,8,0.158,0.158,0.184,0.342,7,0,0,0,0,0,QUI,0.887123301
15,Jose Luna,31,12,17,13,4,2,0,0,0,0,0,1,3,7,0.154,0.353,0.154,0.507,2,1,1,0,0,0,VER,0.928407717
9,Khalil Lee*,26,3,15,13,2,2,1,0,0,0,0,0,2,1,0.154,0.267,0.231,0.498,3,0,0,0,0,0,CHI,1.104916111
27,Ronny Rodríguez,32,15,50,46,4,7,2,0,1,3,0,0,3,15,0.152,0.22,0.261,0.481,12,1,1,0,0,0,CMP,0.989554266
20,Max Murphy,31,5,23,20,2,3,1,0,0,5,0,2,3,5,0.15,0.261,0.2,0.461,4,2,0,0,0,0,SAL,0.996117193
5,Yeison Coca#,25,45,96,90,5,13,1,1,1,5,3,1,2,28,0.144,0.163,0.211,0.374,19,2,0,4,0,0,YUC,0.91908046
4,Lewis Brinson,30,3,10,7,1,1,0,0,0,0,0,0,3,5,0.143,0.4,0.143,0.543,1,0,0,0,0,0,AGU,0.963026964
26,Emiliano Valencia,21,14,9,7,3,1,0,0,0,0,0,0,2,0,0.143,0.333,0.143,0.476,1,1,0,0,0,0,TAB,0.885204422
7,Lewis Brinson,30,13,24,21,2,3,2,0,0,4,0,1,3,8,0.143,0.25,0.238,0.488,5,2,0,0,0,0,TAB,0.885204422
13,Omar Renteria,34,36,60,49,8,7,2,0,0,2,0,0,8,19,0.143,0.263,0.184,0.447,9,0,0,3,0,0,MTY,0.977770943
27,Alejandro Urias,22,23,31,28,6,4,2,1,0,0,0,0,1,7,0.143,0.2,0.286,0.486,8,4,1,1,0,0,DUR,1.050243683
1,Arismendy Alcántara#,32,3,8,7,1,1,0,0,0,0,0,0,1,2,0.143,0.25,0.143,0.393,1,0,0,0,0,0,QUI,0.887123301
19,Channy Ortiz#,25,4,9,7,1,1,0,0,0,0,0,0,2,2,0.143,0.333,0.143,0.476,1,0,0,0,0,0,CHI,1.104916111
28,Dillon Thomas*,31,2,8,7,2,1,0,0,0,0,0,0,1,5,0.143,0.25,0.143,0.393,1,1,0,0,0,0,OAX,0.985605712
6,Luis Garcia#,23,6,16,14,0,2,0,0,0,0,1,0,2,7,0.143,0.25,0.143,0.393,2,0,0,0,0,0,DUR,1.050243683
17,Isboseth Morales#,19,7,7,7,1,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,1,0,0,0,0,0,CMP,0.989554266
10,Hansen Lopez,23,19,42,36,4,5,2,0,0,3,0,0,5,18,0.139,0.262,0.194,0.456,7,1,1,0,0,0,CHI,1.104916111
26,German Revilla,23,16,31,29,4,4,1,0,0,3,0,0,1,12,0.138,0.194,0.172,0.366,5,1,1,0,0,0,QUI,0.887123301
5,Alejandro Flores#,28,15,49,44,4,6,0,0,0,4,0,0,4,12,0.136,0.204,0.136,0.341,6,1,0,0,1,0,DUR,1.050243683
15,Jacob Nottingham,29,28,93,82,11,11,1,1,4,11,1,1,6,41,0.134,0.226,0.317,0.543,26,2,4,0,1,0,JAL,1.010882902
22,Javier Sanchez,24,18,27,23,1,3,2,0,0,1,0,0,3,9,0.13,0.231,0.217,0.448,5,0,0,1,0,0,DUR,1.050243683
24,Jose Sermo#,33,8,34,31,4,4,1,0,2,4,0,0,2,11,0.129,0.206,0.355,0.561,11,2,1,0,0,0,DUR,1.050243683
8,Luis Garcia#,23,11,34,31,2,4,0,0,0,2,0,1,2,8,0.129,0.182,0.129,0.311,4,0,0,1,0,0,LEO,1.107484945
12,Billy Hamilton,33,11,48,39,2,5,1,0,0,3,2,1,9,12,0.128,0.292,0.154,0.446,6,0,0,0,0,0,TAB,0.885204422
24,Fernando Villalobos*,22,10,9,8,3,1,0,0,1,2,0,0,1,4,0.125,0.222,0.5,0.722,4,0,0,0,0,0,MEX,1.116054408
24,Maikol Perez,24,6,16,16,0,2,1,0,0,2,0,1,0,7,0.125,0.125,0.188,0.313,3,0,0,0,0,0,QUI,0.887123301
17,Jose Orrantia,25,22,29,25,1,3,0,0,0,1,0,0,4,12,0.12,0.241,0.12,0.361,3,0,0,0,0,0,JAL,1.010882902
5,Marcus Chiu,27,4,12,9,0,1,0,0,0,0,1,0,2,5,0.111,0.273,0.111,0.384,1,0,0,1,0,0,QUI,0.887123301
9,Jesus Fabela,29,5,10,9,1,1,1,0,0,0,0,0,1,3,0.111,0.2,0.222,0.422,2,0,0,0,0,0,MEX,1.116054408
20,Carlos Pacheco,25,22,28,27,2,3,0,1,0,0,1,0,1,13,0.111,0.143,0.185,0.328,5,2,0,0,0,0,CHI,1.104916111
27,Jorge Rivera,23,19,31,30,0,3,0,0,0,1,1,0,1,9,0.1,0.129,0.1,0.229,3,1,0,0,0,0,QUI,0.887123301
24,Diego Rincones,25,5,18,13,1,1,0,0,0,0,0,0,5,2,0.077,0.333,0.077,0.41,1,1,0,0,0,0,CMP,0.989554266
14,Alan Lopez*,28,16,17,15,4,1,0,0,0,0,0,1,2,7,0.067,0.177,0.067,0.243,1,0,0,0,0,0,LEO,1.107484945
32,Shane Skelly,22,17,34,32,0,2,0,0,0,0,0,0,2,24,0.063,0.118,0.063,0.18,2,1,0,0,0,0,QUI,0.887123301
11,Alex Liddi,35,11,23,18,2,1,1,0,0,2,1,0,5,9,0.056,0.261,0.111,0.372,2,0,0,0,0,0,YUC,0.91908046
8,Manny Garcia,26,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0,TIJ,0.965961179
36,Hans Wilson,33,3,3,2,0,0,0,0,0,1,0,0,1,1,0,0.333,0,0.333,0,0,0,0,0,0,QUI,0.887123301
9,Eduardo Luna#,20,5,3,2,0,0,0,0,0,0,0,0,0,2,0,0.333,0,0.333,0,0,1,0,0,0,DSL,0.964253313
8,Gael Guzman,19,11,11,10,1,0,0,0,0,0,0,0,1,3,0,0.091,0,0.091,0,1,0,0,0,0,ULA,0.968507678
6,Braulio Cavero*,18,10,10,9,1,0,0,0,0,0,0,0,1,5,0,0.1,0,0.1,0,0,0,0,0,0,MVA,0.986601464
6,Ivan Chavez#,23,22,9,9,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,VER,0.928407717
20,Ivan Morales,23,7,8,7,1,0,0,0,0,0,0,0,1,3,0,0.125,0,0.125,0,0,0,0,0,0,LEO,1.107484945
11,Elmer Lopez,22,8,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,DUR,1.050243683
18,Gustavo Ruiz,24,5,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,JAL,1.010882902
3,Eduardo Arredono#,18,4,7,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CMP,0.989554266
18,Marcos Valenzuela*,21,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DSL,0.964253313
22,Gersel Pitre,27,4,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PUE,1.055090728
10,Robbie Glendinning,28,3,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,TAB,0.885204422
16,Shed Long Jr.*,28,3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TAB,0.885204422
13,Jesus Higuera,17,4,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,CMP,0.989554266
8,Bryan Corral*,19,16,5,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MVA,0.986601464
2,Luis Amador,20,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,TIJ,0.965961179
27,David Washington*,33,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,CHI,1.104916111
10,Aldo Flores*,28,4,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AGU,0.963026964
12,Edson Garcia#,31,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,AGU,0.963026964
3,Gerardo Castañeda#,25,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PUE,1.055090728
11,Alfredo Hurtado#,26,4,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,LEO,1.107484945
37,Yandy Yánes,26,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,QUI,0.887123301
25,Axel Santos,20,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AGU,0.963026964
14,Ivan Lozano*,19,5,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,VER,0.928407717
27,Darnell Sweeney#,33,5,2,2,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,PUE,1.055090728
16,Josuán Hernández,30,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,QUI,0.887123301
12,Cristian Mejia,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DSL,0.964253313
16,Victor Rodriguez*,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ULA,0.968507678
4,Omar Bustamante,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MVA,0.986601464
3,Kevin Armenta,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAL,0.996117193
22,Juan Vazquez,--,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAL,1.010882902
18,Leonardo Ortiz,16,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEX,1.116054408
23,Jose Verdugo,16,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEX,1.116054408
25,Edwin Villavicencio,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX,1.116054408
13,Carlos Garcia*,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OAX,0.985605712
4,Jacob Barfield,28,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TAB,0.885204422
14,Carlos Gastelum,44,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,QUI,0.887123301
18,Christian Morales,22,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAL,0.996117193
